"","X1","X2","X3","c.abundance...183.821287737092.","c.187.313609837249..183.859751971849..183.821287737092..183.821287737092.."
"1",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,187.313609837249
"2",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.859751971849
"3",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"4",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"5",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"6",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"7",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"8",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"9",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"10",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"11",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"12",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"13",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"14",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"15",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"16",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"17",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"18",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"19",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"20",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"21",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"22",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"23",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"24",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"25",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"26",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"27",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"28",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"29",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"30",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"31",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"32",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"33",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"34",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"35",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"36",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"37",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"38",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"39",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"40",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"41",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"42",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"43",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
"44",7.94431012566735e-17,2.67103511812896e-113,1,183.821287737092,183.821287737092
