"...1","year","period","predicted_abundance","arma","aicc","Lo 50","Hi 50","Lo 95","Hi 95","model","abundance","error","APE","MAPE","rank"
255,2015,1,72936.7070855759,"1000200",25.7413390653148,57842.1412077151,91970.3719366728,37181.0936872462,143077.104865043,"1",268.9,-72667.8070855759,270.241008127839,12207.6326523929,8
269,2016,1,107188.349814216,"1000200",27.9640411505097,84450.4266574172,136048.363408541,53611.6928816834,214306.650626584,"1",247.7,-106940.649814216,431.734557182947,13870.0301536787,9
283,2017,1,76931.539115836,"1000200",27.7156413310909,60832.1709795227,97291.6405157341,38885.8857321234,152200.768975726,"1",291.8,-76639.739115836,262.644753652625,16641.9683799887,8
297,2018,1,62242.4108501064,"1000200",27.3554991674979,49414.6705457758,78400.1525385989,31829.6532907198,121714.103293829,"1",182.8,-62059.6108501064,339.494588895549,17862.8119034401,4
311,2019,1,36056.2277029208,"1000200",28.2474521480383,28582.1105285276,45484.7991322162,18357.8167910989,70817.3292586312,"1",340.7,-35715.5277029208,104.829843565955,19679.6966968819,4
325,2020,1,38632.6416477716,"1000200",27.7768326363835,30755.5517484557,48527.2061737627,19915.2524512146,74941.6059043787,"1",387.7,-38244.9416477716,98.6457096924725,19426.9660071223,2
339,2021,1,69087.921346687,"0000210",25.3890162655453,54599.974164941,87420.2039287937,34865.5413632106,136901.384271708,"1",841.3,-68246.621346687,81.1204342644562,19142.6506411363,2
353,2022,1,57652.0560653035,"0000210",25.3872879780592,45685.9564969389,72752.3252967158,29324.5288542992,113344.005800441,"1",696,-56956.0560653035,81.8334138869303,19133.9319356201,2
367,2023,1,71722.4453796977,"0000210",25.8714471707552,56879.3660540822,90438.9329225747,36562.4516610114,140693.770180876,"1",NA,NA,NA,18739.5170084375,2
16,1995,1,15043.1730108407,"0000200",29.0757416358311,12414.0191335707,18229.1530083211,8608.21768099721,26288.4911395352,"2",139.4,-14903.7730108407,106.913723176763,NA,2
24,1996,1,13052.778336905,"0000200",16.090068017675,11006.9387207475,15478.8744295658,7953.61334055715,21421.0843571687,"2",176.5,-12876.278336905,72.9534183394051,NA,2
33,1997,1,12841.8808489701,"0000200",10.7644234330402,11017.1253118327,14968.8688356864,8226.4877461488,20046.6965767193,"2",195.6,-12646.2808489701,64.6537875714218,NA,2
42,1998,1,13824.9739788746,"0000200",9.38218481286005,11780.7305206772,16223.9434287282,8684.22192693971,22008.8693177735,"2",228.3,-13596.6739788746,59.5561716113649,NA,2
51,1999,1,14123.5124435026,"0000200",7.08354061975932,12149.7004565629,16417.9853202902,9119.40988594841,21873.5210102937,"2",372.5,-13751.0124435026,36.9154696469868,NA,2
60,2000,1,15389.1748869387,"0000200",8.45992514790878,12996.9820030482,18221.6689724771,9419.00780771761,25143.4873540224,"2",673.1,-14716.0748869387,21.8631330960313,NA,2
69,2001,1,15514.3534509406,"0000200",9.09059374519589,12988.7613361772,18531.0328499387,9257.66063991793,25999.5664523351,"2",1478.7,-14035.6534509406,9.49188709741029,NA,2
81,2002,1,17673.6573040841,"0000200",21.5510149139267,13071.8932562583,23895.4033955764,7356.91151464462,42457.7843406744,"2",689.5,-16984.1573040841,24.6325704192663,NA,2
93,2003,1,192808.367906418,"0000220",17.2855155437506,143912.533247285,258317.08952589,82414.5897264641,451073.855468084,"2",1009.9,-191798.467906418,189.91827696447,NA,2
105,2004,1,83893.4163061444,"0000210",15.0912866096879,65433.3559996445,107561.429365694,40747.7507033,172723.774393419,"2",693.6,-83199.8163061444,119.953599057302,NA,2
117,2005,1,83197.7016802135,"0000210",15.2048224519258,65245.6173380211,106089.233994207,41055.388866864,168598.027102271,"2",454,-82743.7016802135,182.254849515889,NA,2
130,2006,1,64734.5078191982,"0000210",15.3716605079264,50987.5215811134,82187.8838712976,32350.5028486974,129536.054576739,"2",523.4,-64211.1078191982,122.68075624608,NA,2
144,2007,1,76544.6503159296,"0000210",15.2130791965426,60665.6306654875,96579.9486087128,38949.8058395532,150426.51344973,"2",545.3,-75999.3503159296,139.371630874619,NA,2
158,2008,1,35322.6710314864,"0000210",19.1545593779129,27339.958375158,45636.1736794853,16778.8246694144,74361.0540893834,"2",576.9,-34745.7710314864,60.2284122577334,NA,8
172,2009,1,54778.2221205406,"0000210",20.4043515699844,42276.4360877747,70976.9766887943,25803.1282018775,116290.303842654,"2",1051,-53727.2221205406,51.1200971651195,NA,8
186,2010,1,56059.0729433853,"0000210",20.1960560905997,43581.3123329631,72109.3397844938,26971.4509584502,116516.522011108,"2",546.5,-55512.5729433853,101.578358542334,8416.71855359907,8
200,2011,1,63169.2331295564,"0000210",20.4407760041269,49287.0720189762,80961.4337130821,30713.8999352991,129920.069498897,"2",454.2,-62715.0331295564,138.078012174277,8381.14945603621,9
214,2012,1,84641.8110488561,"0000210",20.5511263535733,66308.2914862892,108044.348859624,41640.4537546976,172049.906560445,"2",183.1,-84458.7110488561,461.27095056721,8815.31341493536,9
228,2013,1,58170.1422373971,"0000210",21.3271097767244,45569.233617805,74255.4829053981,28615.2681360634,118250.349143313,"2",335.1,-57835.0422373971,172.590397604885,11459.4278349073,8
242,2014,1,69009.7404118633,"0000210",21.2181259818616,54312.5047693378,87684.1215837527,34408.965808942,138404.167627588,"2",1316.5,-67693.2404118633,51.4190964009596,12212.9893415307,9
256,2015,1,78957.1298855154,"0000210",21.0232796076311,62428.8829455333,99861.283201195,39900.4819766749,156244.437433176,"2",268.9,-78688.2298855154,292.630085107904,12309.6801865572,9
270,2016,1,122852.782442095,"0000210",22.5953266712642,96736.5969383147,156019.61027623,61344.4054553041,246033.946237548,"2",247.7,-122605.082442095,494.974091409346,14114.7931999697,11
284,2017,1,92799.4971478098,"0000210",23.0131598607837,73179.9949751282,117678.9732469,46536.9667531582,185051.739976197,"2",291.8,-92507.6971478098,317.024321959595,17351.341228716,11
298,2018,1,69375.3780414987,"0000210",23.4917937650655,54768.4124306758,87878.0827268443,34901.726855583,137899.855165217,"2",182.8,-69192.5780414987,378.51519716356,19300.6195723181,11
312,2019,1,44068.5301353017,"0000210",25.2455482715467,34637.2910582582,56067.7607558741,21888.781688306,88722.8615982552,"2",340.7,-43727.8301353017,128.347021236577,20557.9323736454,11
326,2020,1,33869.069478418,"0000210",25.4128494372913,26685.9251222357,42985.7260739327,16942.8738506293,67704.7989288604,"2",387.7,-33481.369478418,86.3589617704875,20613.8885215072,10
340,2021,1,65450.970418144,"0000210",28.5135244118555,51079.0686871088,83866.6334133438,31844.503582166,134523.357150898,"2",841.3,-64609.670418144,76.797421155526,19974.5826032046,9
354,2022,1,56479.9234961474,"0000210",28.4385473035881,44234.958595872,72114.4963031196,27765.2120837062,114891.31610137,"2",696,-55783.9234961474,80.1493153680279,19668.6937026009,8
368,2023,1,78651.0307978276,"0000210",28.9975822896091,61654.2941924808,100333.394884849,38764.7510543046,159577.566663463,"2",NA,NA,NA,19273.8782658903,10
25,1996,1,11929.8133171761,"0000200",15.8830207482603,10089.3618039924,14105.9908988848,7331.20401996732,19412.9702836051,"3",176.5,-11753.3133171761,66.5910102956153,NA,3
34,1997,1,11278.1883273586,"0000200",10.4521047346035,9708.39450000327,13101.809155708,7296.12331062747,17433.5776044372,"3",195.6,-11082.5883273586,56.6594495263732,NA,3
43,1998,1,14367.9658814065,"0000200",9.22488498251462,12262.6133101608,16834.7837730646,9066.45285754049,22769.4829293209,"3",228.3,-14139.6658814065,61.9345855514958,NA,3
52,1999,1,12104.362153649,"0010200",6.10272324076727,11070.5874458883,13234.671047299,9338.53203462091,15689.3591630366,"3",372.5,-11731.862153649,31.4949319561047,NA,3
61,2000,1,15983.6224647173,"0000200",7.81292948459894,13571.8174082977,18824.0218246984,9936.92399300079,25709.7857721932,"3",673.1,-15310.5224647173,22.7462820750517,NA,3
70,2001,1,17184.9999326551,"0000200",8.03585892138542,14507.6087925123,20356.5058107839,10505.4278270373,28111.5845587264,"3",1478.7,-15706.2999326551,10.6216946863158,NA,3
82,2002,1,17982.1451315164,"0000200",19.0162726238142,13708.2578689195,23588.5220881395,8172.60681428925,39566.0223082739,"3",689.5,-17292.6451315164,25.0799784358468,NA,3
94,2003,1,21780.5607211209,"0000200",30.1753622347577,14515.8530211019,32681.0160337668,6698.56592419922,70820.0577100607,"3",1009.9,-20770.6607211209,20.567046956254,NA,3
106,2004,1,85825.8397287211,"0000210",15.7776339984142,66497.0698374488,110772.922523449,40888.8621936818,180148.685239726,"3",693.6,-85132.2397287211,122.739676656172,NA,3
118,2005,1,65823.8497595216,"0000210",15.9574801411867,51279.933914681,84492.6829346718,31862.905547071,135981.923894645,"3",454,-65369.8497595216,143.986453214805,NA,3
131,2006,1,61248.2729961696,"0000210",15.6730348829869,48125.4982750197,77949.3424374686,30394.681609533,123421.294330543,"3",523.4,-60724.8729961696,116.020009545605,NA,3
145,2007,1,82715.9974169312,"0000210",15.585823901512,65378.4199980348,104651.293636087,41758.2657180356,163846.273570761,"3",545.3,-82170.6974169312,150.688973806953,NA,3
159,2008,1,37223.4573890252,"0000210",19.7456044526572,28682.0481856313,48308.4670601279,17452.4260786508,79392.1586459278,"3",576.9,-36646.5573890252,63.5232404039265,NA,9
173,2009,1,56597.0266013925,"0000210",20.6993730187227,43587.1305021449,73490.1192901675,26495.2418412675,120898.063105413,"3",1051,-55546.0266013925,52.8506437691651,NA,9
187,2010,1,54238.1776018125,"0000210",20.5230218689716,42074.0781020604,69919.0580582608,25930.9145225002,113446.824523415,"3",546.5,-53691.6776018125,98.2464365998399,NA,9
201,2011,1,70829.8961370345,"0000210",20.9248976766257,55097.4839272163,91054.5061079445,34137.582346943,146960.441890588,"3",454.2,-70375.6961370345,154.944289161238,6958.33608986349,2
